Question,Option1,Option2,Option3,Option4,CorrectAnswer
L’algorisme de RANSAC pot treballar amb algunes dades incorrectes perquè...,calcula el resultat utilitzant un petit conjunt de les dades d’entrada,fa un mitjana de les dades d’entrada per calcular el resultat,fa una votació per seleccionar el millor resultat,a) i c),4
Si volem incrementar la probabilitat d’encert d’un algorisme p-correcte executant-lo diverses vegades per quin tipus d’algorisme pujarà més ràpidament la probabilitat d’encert en incrementar el número d’execucions?,Algorismes numèrics,Algorismes de Monte Carlo,Algorismes de Las Vegas,Algorismes de Sherwood,3
Si tinc un algorisme de Monte Carlo 0.8-correcte quin és el número mínim de vegades que hauré d’executar-lo per obtenir un algorisme 0.9-correcte?,3,5,7,9,2
Quina estratègia utilitzen els algorismes de branch&bound per reduir la cerca?,Puntuar les solucions i cerca per la més prometedora,Evitar solucionar vàries vegades el mateix problema,Fer cerques amb amplitud prioritària, Fer cerques amb profunditat prioritària,1
Quin és el principal repte a l’hora de desenvolupar un algorisme de branch&bound?,Calcular el cost de la part de la solució construïda,Aproximar el cost de la part de la solució no construïda,Calcular una cota inferior i una superior pel cost de la part de la solució no construïda, b) o c),4
En quin cas té sentit guardar solucions completes a la cua amb prioritat?,En qualsevol algorismes de branch&bound,En algorismes de branch&bound que cerquen una solució qualsevol, En algorismes de branch&bound que cerquen una solució òptima,En cap algorisme de branch&bound té interès guardar una solució completa a la cua amb prioritat,3
Com la programació dinàmica evita que es repeteixin càlculs?,Per trobar ràpidament el resultat d’un subproblema el guarda en una casella d’una taula. Utilitza els paràmetres com indexes de la taula per decidir en quina casella guarda el resultat. Així en cas d’haver de resoldre repetidament el subproblema trobarà el resultat utilitzant els paràmetres com indexes per accedir a la taula,Per trobar ràpidament el resultat d’un subproblema guarda el seu resultat i els seus paràmetres en una llista. Així en cas d’haver de resoldre repetidament elsubproblema cercarà a la llista els paràmetres del subproblema per trobar el resultat,Només s’utilitza l’estratègia b) per problemes solucionats amb l’estratègia bottom-up, Només s’utilitza l’estratègia b) per problemes solucionats amb l’estratègia top-down,1
Un problema d’optimització on és útil aplicar la programació dinàmica compleix...,Els subproblemes són dependents,Els subproblemes són independents,a) i compleix el principi d’optimitat de Bellmam,b) i compleix el principi d’optimitat de Bellmam,3
Quins algorismes ens asseguren que el seu resultat és una solució correcte?,Algorismes de Monte Carlo,Algorismes de Monte Carlo esbiaixats,Algorismes Numèrics,Algorismes de Las Vegas,4
Com es calcula la probabilitat d’encert d’un algorisme de Las Vegas p-correcte al executar-lo n vegades?,p^n,(1-p)^n,1-(1-p)^n,1-(p)^n,3
Amb quin criteri valora les solucions l’algorisme de RANSAC per seleccionar la millor de totes?, L’algorisme de RANSAC només dona una solució en cada execució i per tant no la valora ja que es tracta d’un algorisme de Monte Carlo,L’algorisme de RANSAC només dona una solució en cada execució i per tant no la valora ja que es tracta d’un algorisme de Las Vegas,La solució que té cost mínim,La solució que té més vots o més consens al aplicar-la a les dades d’entrada,4
